protein_name,uniprot_id,alphafold_id,mw_da,sequence_length,theoretical_pI,net_charge_at_ph,sasa_total_A2,radius_gyration_A,max_dimension_A,min_dimension_A,aspect_ratio,surface_pos_residue_frac,surface_neg_residue_frac,surface_hydrophobic_frac,surface_polar_frac,surface_hbond_donor_density,surface_hbond_acceptor_density,pos_patch_count,neg_patch_count,hyd_patch_count,max_pos_patch_area_A2,max_neg_patch_area_A2,max_hyd_patch_area_A2,pdb_id_or_alphafold_id,source,ph_assumed,ionic_strength_mM,buffer,surface_net_charge_index,surface_aromatic_frac,max_pos_patch_size_res,max_neg_patch_size_res,surface_residue_count,alphafold_pdb_url,sasa_per_residue_A2,net_charge_per_sasa,max_hyd_patch_size_res,alphafold_version,effective_diameter_A,effective_size_geom_A,shape_anisotropy_index,ph_distance_from_neutral,mw_da_norm,sequence_length_norm,theoretical_pI_norm,net_charge_at_ph_norm,sasa_total_A2_norm,radius_gyration_A_norm,max_dimension_A_norm,min_dimension_A_norm,aspect_ratio_norm,surface_pos_residue_frac_norm,surface_neg_residue_frac_norm,surface_hydrophobic_frac_norm,surface_polar_frac_norm,surface_hbond_donor_density_norm,surface_hbond_acceptor_density_norm,pos_patch_count_norm,neg_patch_count_norm,hyd_patch_count_norm,max_pos_patch_area_A2_norm,max_neg_patch_area_A2_norm,max_hyd_patch_area_A2_norm,ph_assumed_norm,ionic_strength_mM_norm,surface_net_charge_index_norm,surface_aromatic_frac_norm,max_pos_patch_size_res_norm,max_neg_patch_size_res_norm,surface_residue_count_norm,sasa_per_residue_A2_norm,net_charge_per_sasa_norm,max_hyd_patch_size_res_norm,effective_diameter_A_norm,effective_size_geom_A_norm,shape_anisotropy_index_norm,ph_distance_from_neutral_norm,electrostatic_interaction_score,transport_size_score,surface_interaction_score,protein_stability_score,overall_protein_interaction_profile
Trypsin,P00760,AF-P00760-F1,25785.0,246,8.095386,3.230556,12024.2406,21.782621,93.742996,51.549,1.818522,0.142417,0.068656,0.389,0.399927,54.497354,51.772487,17,4,6,37.5,62.5,712.5,AF-P00760-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.073761,0.115305,3,5,189,https://alphafold.ebi.ac.uk/files/AF-P00760-F1-model_v6.pdb,63.620321,0.000269,57,v4,43.565242,69.51516166135269,1.818522105181478,0.6953859999999992,0.13243063548689205,0.14263199369582347,0.6564924580357018,0.7156011960219681,0.1590268285513417,0.3537612615381157,0.4403976487468702,0.21832274547596292,0.11103116900944954,0.2603526890829585,0.068197481825121,0.5484861742305872,0.93849258306505,0.7562521266463584,0.7562521418715245,0.20588235294117646,0.012987012987012991,0.03496503496503497,0.09999999999999998,0.5714285714285714,0.3858267716535433,0.0,0.0,0.5173174044981979,0.5306430071654594,0.10000000000000003,0.5714285714285714,0.1033672670321065,0.4117918890871007,0.1273766068877956,0.3858267716535433,0.3537612615381157,0.3128820191009209,0.11103117725266584,0.19175596326860406,0.7745690187836547,0.609228346044329,,0.6491777289851147,
Chymotrypsin,P00766,AF-P00766-F1,25666.0,245,8.200542,3.278828,10722.850118,16.468926,49.558998,39.814999,1.244732,0.220654,0.067423,0.296024,0.415899,55.307263,52.541899,16,7,5,25.0,50.0,787.5,AF-P00766-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.153231,0.073576,2,4,179,https://alphafold.ebi.ac.uk/files/AF-P00766-F1-model_v6.pdb,59.904191,0.000306,63,v4,32.937852,44.420619714396175,1.24473186599854,0.8005420000000001,0.13157988804449622,0.14184397163120566,0.672544978458182,0.7164473142913954,0.14143379399625122,0.2538870568795756,0.20784899225147785,0.15656450060492183,0.03319749506307784,0.5040239694028827,0.06362875076886593,0.2717743591575075,0.9999999999999999,0.7839377207875105,0.7839376799405968,0.19117647058823528,0.05194805194805195,0.027972027972027975,0.0,0.42857142857142855,0.43307086614173224,0.0,0.0,0.734969489817158,0.2993920719981823,0.0,0.42857142857142855,0.09553641346906813,0.3865967206543762,0.12855102364704016,0.4330708661417323,0.2538870568795756,0.18080474499068744,0.03319747508472598,0.22096530605839151,0.8893346951782257,0.7350471180921824,,0.5463419787036728,
Pepsin A,P00791,AF-P00791-F1,41262.0,385,3.79487,-30.401639,16766.699949,21.429889,82.000999,45.757999,1.792058,0.086946,0.186391,0.348385,0.378279,47.619048,45.238095,12,27,13,62.5,37.5,537.5,AF-P00791-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.099445,0.064987,5,3,273,https://alphafold.ebi.ac.uk/files/AF-P00791-F1-model_v6.pdb,61.416483,-0.001813,43,v4,42.859778,61.25521716752787,1.7920582366374893,3.6051300000000004,0.2430778469655483,0.25216706067769895,0.0,0.12609144646855874,0.22313844789778547,0.347131444065036,0.3785973194302943,0.1878436226425454,0.10744137074298135,0.08758673958813487,0.5044501589607155,0.42760927729811915,0.8551271584590024,0.5211269603688491,0.5211269313546099,0.13235294117647056,0.3116883116883117,0.08391608391608392,0.3,0.2857142857142857,0.2755905511811024,0.0,0.0,0.042941576012532734,0.2517941357391839,0.3,0.2857142857142857,0.16914643696162882,0.3968499818856738,0.06129185843516903,0.2755905511811024,0.347131444065036,0.26940838426222935,0.10744139701276947,0.9999999999999999,0.0,0.6170547569307075,,0.0,
Papain,P00784,AF-P00784-F1,38922.0,345,7.183381,-0.503427,17882.873338,23.132868,90.730003,49.780998,1.822583,0.187415,0.124268,0.337646,0.350671,50.8,48.26,22,22,8,50.0,37.5,587.5,AF-P00784-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.063147,0.146668,4,3,250,https://alphafold.ebi.ac.uk/files/AF-P00784-F1-model_v6.pdb,71.531493,-2.8e-05,47,v4,46.265736,67.2058784473724,1.8225830466476385,0.21661900000000056,0.22634886364448764,0.2206461780929866,0.5172709310861799,0.6501514273355447,0.2382275985207185,0.3791399942688388,0.4245397022980218,0.20901741982885497,0.11158203700975666,0.40050019310069884,0.27426096236077047,0.3956482531405968,0.7488100556077574,0.6298633073590492,0.6298632987606541,0.27941176470588236,0.24675324675324678,0.04895104895104895,0.2,0.2857142857142857,0.30708661417322836,0.0,0.0,0.48824782813509926,0.7044483482867734,0.2,0.2857142857142857,0.15113547376664058,0.46542922444411294,0.117949531820346,0.30708661417322836,0.3791399942688388,0.3007278290505212,0.11158203728306418,0.05876812216169605,0.7879885371373607,0.5836659933034731,,0.7753421067235977,
Proteinase K,P06873,AF-P06873-F1,40300.0,384,7.068065,-0.930582,18496.285851,29.110833,97.017998,85.347,1.136748,0.175407,0.115389,0.361243,0.347962,48.897059,46.452206,25,21,11,50.0,37.5,400.0,AF-P06873-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.060018,0.090726,4,3,272,https://alphafold.ebi.ac.uk/files/AF-P06873-F1-model_v6.pdb,68.001051,-5e-05,32,v4,58.221666,90.99557722936868,1.136747606828594,0.33193500000000054,0.23620037604466781,0.25137903861308114,0.4996674425069384,0.6426641956199077,0.24652010387326181,0.4914995670052472,0.4576345976332006,0.39620794935070663,0.018549642281703138,0.363100948062141,0.24136091122655426,0.465876792766731,0.7383778246738241,0.5648139595921295,0.5648139498967941,0.32352941176470584,0.2337662337662338,0.06993006993006994,0.2,0.2857142857142857,0.1889763779527559,0.0,0.0,0.4796781367425861,0.3944327760198172,0.2,0.2857142857142857,0.16836335160532498,0.44149301100917804,0.11725122996349788,0.1889763779527559,0.4914995670052472,0.42593746920538694,0.01854958794215722,0.0907996236751342,0.7682974123630835,0.5023172370140337,,0.8393362999121758,
Carbonic anhydrase II,P00921,AF-P00921-F1,29114.0,260,6.916341,-1.982385,11781.192409,17.387004,50.488998,41.776001,1.208565,0.273872,0.178233,0.315797,0.232098,45.16129,42.903226,18,20,7,62.5,37.5,525.0,AF-P00921-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.095639,0.039396,5,3,186,https://alphafold.ebi.ac.uk/files/AF-P00921-F1-model_v6.pdb,63.339744,-0.000168,42,v4,34.774008,45.926337007614684,1.208564649354542,0.4836590000000003,0.1562301164594608,0.1536643026004728,0.4765061144935073,0.6242280476637745,0.15574114659657293,0.2711429042822781,0.21274375642697674,0.16688562139812793,0.028291500734807157,0.6697728886618743,0.474221685354123,0.33062204801742834,0.29219103806281665,0.4371119778397381,0.4371119893134192,0.22058823529411764,0.2207792207792208,0.04195804195804196,0.3,0.2857142857142857,0.26771653543307083,0.0,0.0,0.5772367743561091,0.10997567179646327,0.3,0.2857142857142857,0.10101801096319499,0.409889591596607,0.1135057927313125,0.26771653543307083,0.2711429042822781,0.1887296171038865,0.02829145163524935,0.13294423097702537,0.8025105540226642,0.7194266118393053,,0.6302119336667883,
Catalase,P00432,AF-P00432-F1,59915.0,527,7.282722,-0.839974,29801.345136,27.249353,95.276001,73.595001,1.294599,0.258212,0.133257,0.374131,0.2344,45.221445,42.960373,43,39,27,87.5,50.0,925.0,AF-P00432-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.124955,0.088944,7,4,429,https://alphafold.ebi.ac.uk/files/AF-P00432-F1-model_v6.pdb,69.467005,-2.8e-05,74,v4,54.498706,83.7367147007273,1.2945988138515006,0.11727800000000066,0.37643072127655014,0.3640661938534279,0.5324357664858678,0.6442523851325914,0.39934917508538054,0.45651189185871,0.44846614117145156,0.33435497763490146,0.03996187195825504,0.6209993895526292,0.30756860507340344,0.5042335931524419,0.30105593123738805,0.439168291469493,0.4391682939252959,0.5882352941176471,0.4675324675324676,0.1818181818181818,0.5,0.42857142857142855,0.5196850393700787,0.0,0.0,0.6575273057920049,0.38455740957278783,0.5,0.42857142857142855,0.2913077525450274,0.4514321030066663,0.117949531820346,0.5196850393700787,0.45651189185871,0.38773271623757494,0.03996184453921239,0.031174020806754344,0.8945210055642758,0.5301674932948859,,0.8589643612161919,
Horseradish peroxidase,P00433,AF-P00433-F1,38825.0,353,5.940038,-5.266607,18561.942069,26.341774,95.236,72.169006,1.319625,0.143504,0.07768,0.406678,0.372138,46.494465,44.169742,21,18,8,37.5,37.5,1062.5,AF-P00433-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.065824,0.074286,3,3,271,https://alphafold.ebi.ac.uk/files/AF-P00433-F1-model_v6.pdb,68.494251,-0.000284,85,v4,52.683548,82.90408587889983,1.3196246599267283,1.459962,0.2256553972418625,0.22695035460992907,0.32746921839600895,0.5666617517768187,0.2474076869069531,0.43945337969536735,0.448255608416845,0.32684969888173954,0.04335660787937931,0.2637381803685108,0.10163481276725042,0.6010987997130975,0.8314784577704525,0.482684680413892,0.4826846823999438,0.2647058823529412,0.19480519480519481,0.04895104895104895,0.09999999999999998,0.2857142857142857,0.6062992125984251,0.0,0.0,0.4955795839221744,0.3033267017273579,0.10000000000000003,0.2857142857142857,0.16758026624902114,0.4448368813988091,0.10982383748611332,0.6062992125984252,0.43945337969536735,0.3833504348090062,0.04335655939649835,0.40413340699834255,0.6324087260051835,0.5460944338391333,,0.5482525470976982,
Glucose oxidase,P13006,AF-P13006-F1,65638.0,605,4.835176,-26.220657,22738.093681,24.254541,91.467003,47.558998,1.923232,0.173824,0.185821,0.317175,0.323179,44.389027,42.169576,39,38,24,75.0,50.0,525.0,AF-P13006-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.011998,0.068324,6,4,401,https://alphafold.ebi.ac.uk/files/AF-P13006-F1-model_v6.pdb,56.703476,-0.001153,42,v4,48.509082,65.95512878270343,1.9232323397561908,2.5648240000000007,0.4173452390314348,0.425531914893617,0.15880723221336435,0.1993762752377578,0.3038635935955443,0.4002225364098459,0.4284186713274226,0.19732261768051246,0.12523490905184237,0.35817065118538916,0.5023380935089188,0.33472320187617355,0.6429396632726935,0.4107132589858562,0.4107132653470986,0.5294117647058824,0.4545454545454546,0.16083916083916083,0.39999999999999997,0.42857142857142855,0.26771653543307083,0.0,0.0,0.2824410337310065,0.270286895466309,0.4000000000000001,0.42857142857142855,0.26938136256851997,0.3648960391577257,0.08224091414061262,0.26771653543307083,0.4002225364098459,0.2941448993181137,0.12523494834404703,0.7110326128773214,0.2731844537068359,0.5580324808088051,,0.27250444438125904,
Alkaline phosphatase,P00634,AF-P00634-F1,49439.0,471,6.017185,-7.389982,20947.678307,24.696184,111.612,58.532997,1.906822,0.236272,0.168986,0.336753,0.257989,45.283019,43.018868,32,37,20,62.5,37.5,400.0,AF-P00634-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.067286,0.046728,5,3,318,https://alphafold.ebi.ac.uk/files/AF-P00634-F1-model_v6.pdb,65.873202,-0.000353,32,v4,49.392368,80.82688204529481,1.9068218905654188,1.3828150000000008,0.30153634979303245,0.3199369582348306,0.3392460432375116,0.5294429421077509,0.27965960564694703,0.4085234914642876,0.5344455634039094,0.25508082968821216,0.12300891942243097,0.5526666583612603,0.4399580551212029,0.3929905387749514,0.3918960550840278,0.4412731116081101,0.4412731032463755,0.4264705882352941,0.4415584415584416,0.13286713286713286,0.3,0.2857142857142857,0.1889763779527559,0.0,0.0,0.49958370307073763,0.15060765091521705,0.3,0.2857142857142857,0.20438527799530148,0.42706630528187456,0.10763370893508968,0.1889763779527559,0.4085234914642876,0.37241772200262035,0.123008897903427,0.382704166934022,0.631029777994318,0.5504735425679034,,0.5406837569482039,
β-Galactosidase,P00722,AF-P00722-F1,116483.0,1024,5.199604,-37.595298,39337.986041,32.748044,108.982002,63.711002,1.710568,0.188483,0.195488,0.352335,0.263694,44.889503,42.645028,71,80,16,62.5,37.5,1687.5,AF-P00722-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.007005,0.060141,5,3,724,https://alphafold.ebi.ac.uk/files/AF-P00722-F1-model_v6.pdb,54.334235,-0.000956,135,v4,65.496088,83.32678169343878,1.7105680114715507,2.2003960000000005,0.7808431693559341,0.7557131599684792,0.21443875026771753,0.0,0.5282716278785725,0.5598632114749229,0.5206033913694644,0.2823336397683779,0.09638738567895128,0.4038265083656206,0.5381579824957944,0.4393651247161482,0.4138657403841709,0.42782132348864255,0.4278213224686622,1.0,1.0000000000000002,0.1048951048951049,0.3,0.2857142857142857,0.9999999999999999,0.0,0.0,0.29611584009815844,0.2249389024045575,0.3,0.2857142857142857,0.5223179326546593,0.34883270820517115,0.08849388985875259,0.9999999999999999,0.5598632114749229,0.3855751620457143,0.09638738200513211,0.6098048905010749,0.25608095722585955,0.4080076611900331,,0.4803279657044133,
